,report,institute,category
3,Saluran air terlalu kecil di kantor lurah sempakata kecamatan medan selayang. sementara air dari sekitar dialirkan lewat saluran air tsb sehingga saat hujan air meluap dan membanjiri pemukiman.,Dinas Pekerjaan Umum Kota Medan,  Drainase (Gorong-Gorong/Parit)
4,"Assalamualaikum wr wb
yth pemprov lampung

saya ingin mentampaikan aspirasi tentang pembuatan program 100.000 lubang biopori di prov lampung. ketika hujan seharusnya air  dari atap rumah meresap ke tanah bukan dialirkan ke siring. terdapat masalah bagi rumah yang lahannya sempit atau tidak memiliki lahan resapan. saya harap pemprov lampung dapat membuat program 100.000 lubang biopori di rumah rumah warga agar ketika hujan tidak banjir. ini juga demi prinsip pembangunan berkelanjutan. saya harap hal ini di realisasikan agar prov lampung dapat menjadi pelopor lubang biopori si indonesia. terima kasih

wassalamualaikum wr wb","Dinas Perumahan, Kawasan Pemukiman dan Cipta Karya",  Lainnya terkait Lingkungan Hidup dan Kehutanan
5,Semoga lekas dibangun Bendungan Riam Kiwa jadi sungai Martapura tidak terlalu dalam airnya dan apabila hujan Martapura tidak banjir lagi.,Dinas Pekerjaan Umum dan Penataan Ruang Provinsi Kalimantan Selatan,  Infrastruktur Pendukung
6,"Assalamu'alaikum wr.wb. salam sejahtera untuk kita semua.

Saya ingin menanyakan kelanjutan proyek penggalian paret/parit untuk saluran air yang berhenti dilaksanaan penggaliannya di Dusun I Batang Kuis Pekan dan proses pembuatan paretnya kenapa berhenti sudah 1 tahun lebih dan sampai sekarang tidak ada tindak lanjutnya. Padahal kalau musim hujan masih saja terjadi banjir dan banyak genangan air yang menyebabkan terjadinya atau bersarangnya nyamuk DBD dan malaria. Jadi saya minta ketika musim panas/kemarau seperti sekarang ini silakan dilanjutkan proyek tersebut yang sudah mangkrak hampir 1 tahun lebih ini dan tolong secepatnya respon dan tanggapannya dari pemerintah terkait mengenai persoalan ini. Karena selain wabah covid 19, wabah dbd dan malaria juga tinggi ya karena itu terlampau sepele dengan kebersihan dan hal-hal seperti parit dan lain-lain. Tolong segera dilanjutkan proyek parit ini agar lebih tertata ruang bagian drainase dan pengelolaan parit di sekitar dusun i batang kuis pekan.  Foto lampiran diambil tahun 2020 pada bulan juli hingga september ketika terjadi musim hujan yang menyebabkan banjir yang amat parah pada daerah ini. Sebenanya sudah digali parit tersebut seadanya namun belum rapi dan belum dicor dimohonkan kepada pemerintah terkait untuk menyelesaikan proyek parit yang mangkrak di dusun i batang kuis pekan gang alhadi ini agar tidak terjadi banjir ketika musim hujan agar air dapat lancar jaya jalannya menuju parit besar. Tolong kerjasamanya pemerintahan terkait dan pihak-pihak setempat.",Dinas Perumahan dan Kawasan Permukiman Kabupaten Deli Serdang,  Drainase (Gorong-Gorong/Parit)
7,"Kondisi pinggiran jalan KL. Yos Sudarso lingkungan 25 pulo brayan kota. 
jauh dari kata nyaman, banyak keluhan dari warga yang tinggal disana. 
para pedagang kaki lima merajalela dan lebih merasa berhak berjualan di sepanjang jalan yang tentunya merugikan dari pihak pemilik ruko dan toko. 
1. toko-toko tertutup oleh meja/gerobak dari para pedangang kaki lima
2. tidak ada lagi area untuk parkir mobil dengan teratur
3. tidak ada lagi trotoar untuk para pejalan kaki
4. banyak sampah yang dibuang sembarangan dari para pedagang kaki lima, sehingga parit penuh dan rawan banjir",Satuan Polisi Pamong Praja Kota Medan,  Topik Lainnya
8,"Kepada Bapak/Ibu yang berwenang untuk mengatasi ini saya warga Jl. KH Fudholi RT/RW:004/01 Desa Karang Asih Kec. Cikarang Utara Kab. Bekasi ingin memberitahukan bahwa ada saluran air yang jebol/rusak yang mengakibatkan air mengalir ke jalanan, hal ini sudah terjadi cukup lama sampai jalanan yang tergenang air menjadi berlumut. Karena jalanan berlumut ini, dikhawatirkan akan membuat masyarakat yang melintas rawan akan tergelincir. Saya selaku warga setempat berharap besar untuk Bapak/Ibu menindaklanjuti masalah ini. Terimakasih","Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi",  Infrastruktur Jalan
9,"Saya keluhkan adanya jalan yang rusak dan berlubang di depan pt. sinar sosro dari arah kota bekasi ke arah jakarta, jalan raya sultan agung km 28, medan satria, medan satria, kota bekasi. lokasi jalan berlubang persisnya sebelum patung garuda dan di sekitaran jembatan kanal banjir timur (kbt). titiknya ada di jalur paling kanan jalan. hal itu cukup membahayakan pengguna jalan dan kalau dibiarkan semakin lama, bisa bertambah banyak dan lebar lubang tersebut.

mohon diperbaki jalan tersebut dengan pengaspalan. terima kasih",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Infrastruktur Jalan
0,"Jalan rusak di jl. asang permai sudah bertahun-tahun perkiraan saya 90% jalan asang permai sudah rusak, sbg jalan yg kini sudah ramai krna sudah bnyk penduduk jalan ini hampir tidak ada aspal mulus lagi.. dan sejak banjir di awal tahun, kerusakan semakin parah.. jalan yg dulunya aspal, sekarang bahkan hanya sisa lobang-lobang berbatu.. bahkan ada yang terbelah.. selama ini jalan hanyar di uruk dengan batu untuk menutupi lobang-lobang.. sangat berharap perbaikan jalan asang dilakukan secepatnya.. saya sebagai wanita hamil yg setiap hari harus melalui jalan tsb, sangat merasakan ruginya.. jika berkenan hendak nya coba dilihat keadaan jjalan tsb..",Dinas Pekerjaan Umum dan Penataan Ruang,  Infrastruktur Jalan
1,"Bagaimana terkait laporan saya mengenai sungai kali kendal masjid agung,yang sering banjir karena mengalami pendangkalan hampir setengahnya dari lebar sungainya,mohon di perhatikan pak,agar aliran sungai normal kembali dan mampu menampung debit air yang lebih yang sering menyebabkan banjir, maturnuwun",Dinas Pekerjaan Umum dan Penataan Ruang Kabupaten Kendal,  Infrastruktur Pendukung
2,"Baru-baru ini terjadi lagi banjir di daerah rumah saya pada sore hari tadi. hal ini bukan hanya sekali atau dua kali saja. namun, hampir setiap hujan deras datang. oleh karena itu saya sangat berharap pihak lingkungan memperluas parit di daerah sini.",Dinas Pekerjaan Umum Kota Medan,  Drainase (Gorong-Gorong/Parit)
3,"Lapor! saya bersama warga ingin pemerintah, khusunya pemerintahan kota bekasi, untuk segera memperbaiki saluran sungai di kp. kebantenan. jatiasih. setiap tahun disaat musim hujan. kita di sekitar sungai mengalami kebanjiran. karena sungai tindak sanggup menampung debit air hujan dari warga sekitar kp. kebantenan. segeraaa..... supaya kita tidak kebanjiran lagi tiap tahun. saya sdh laporkan ke kementrian pupr melalui email resmi pupr. terima kasih.",Dinas Bina Marga dan Sumber Daya Air Kota Bekasi,  Topik Lainnya
4,"Assalamualaikum.
Selamat pagi Diskominfo Kab. Pasuruan. 
Dengan hormat,Saya Intan Novitasari salah satu penduduk Perumahan Gempol Citra Asri Ingin menyampaikan keluhan terkait banjir yang terjadi terus-menerus di Daerah kami. Banjir ini sudah terjadi setiap tahunnya namun belum ada Solusi yang dapat menyelesaikannya. Kami sudah melakukan tindakan berupa Meninggikan jalanan perumahan dan rumah pribadi tergantung finansial Keluarga. Namun, hal ini nyatanya tidak berpengaruh dan tetap Kebanjiran. Per tanggal 31 Maret 2021 hujan deras di daerah kami membuat Banjir menggenang di jalanan bahkan untuk yang rumahnya rendah sudah Masuk ke rumah. Per tanggal 01 April jalanan masih banjir belum surut Dan hujan deras sehingga 02 April banjir masuk ke rumah setinggi lutut Dan di jalanan sampai setengah paha orang dewasa. Kami dengan sangat Berharap, adanya perbaikan dan pelebaran sungai atau jalanan air Sehingga air tidak tumpah dan menggenangi rumah warga. Banjir ini sudah Terjadi sejak tahun 2002 dan belum ada solusi sampai tahun ini. Mohon Bantuannya untuk direspon. Berikut saya lampirkan kondisi terkini dari Daerah kami. Terimakasih atas perhatian dan waktu yang diberikan. Semoga Bisa diteruskan kepada pihak yang terkait. 
Wassalamu'alaikum.",Badan Penanggulangan Bencana Daerah Kab. Pasuruan,  Banjir
5,"Kpd. yth. bapak menteri pupr
dengan hormat,

kami 6 (enam) desa yang terdampak pembangunan bendungan di sukaraja, kec. simpang empat, kab.asahan memohon kepada bapak supaya menghentikan perbaikan bendungan yang jebol pada bulan desember 2020 karena keberadaan bendungan membanjiri lahan kami sekitar 2.000 ha. bws sumut ii tidak menghiraukan pengaduan kami selama ini dan tetap memperbaiki bendungan. kami sangat memohon supaya bapak dapat memantau langsung ke lapangan karena begitu banyak oknum yang berusaha menginterfensi masyarakat yang membuat pengaduan. atas perhatian dan pertolongan bapak kami mengucapkan beribu-ribu terima kasih.",Direktorat Jenderal Sumber Daya Air,  Bendungan
6,"Pendangkalan sungai,sungai masjid agung kendal,lampu merah bu sabar ke selatan,mohon bisa diperbaiki atau dilakukan normalisasi pengerukan agar berfungsi normal tidak sering banjir. terimakasih",Pemerintah Provinsi Jawa Tengah,  Infrastruktur Pendukung
7,"Selamat pagi bapak ibumohon ijin menyampaikan informasitelah terjadi pendangkalan sungai diwilayah kendallokasi tepatnya sungai sebelah masjid agung jalan pahlawan 1 gang merdeka lampu merah bu sabar ke selatanpendangkalan tersebut menyebabkan sering mbludak dan banjir,mohon dinas terkait bisa melakukan pengerukan agar aliran sungai mampu menampung aliran ketika banjir,dan tidak membludak karena pendangkalan.mohon maaf terimakasih sebelumnya, mohon perhatikan agar lebih baik,trimakasih pak bupati kendal",Pemerintah Provinsi Jawa Tengah,  Lainnya terkait Infrastruktur Pendukung
8,"Assalamualaikum Ning Ita, Saya harris dari kedundung indah beberapa waktu lalu saya ke alun2 kota mojokerto, Kondisi area bermain di alon2 kota banjir efek malam hujan dan tidak bisa digunakan sebagaimana mestinya sampai agak siang pun belum surut mungkin di kasih solusi terkait itu",Dinas Lingkungan Hidup,  Lainnya terkait Lingkungan Hidup dan Kehutanan
9,Drainase di jalan kebun karet di depan komplek pondok rawa indah rt.41 rw.08 loktabat utara banjarbaru utara kota banjarbaru kurang berfungsi mengakibatkan banjir sering terjadi walaupun hujan terjadi dengan intensitas rendah sampai sedang dalam waktu kurang dari 15 menit air sudah menggenangi jalanan karena drainase yang tidak berfungsi terakhir pada bulan januari banjir memasuki rumah warga hingga ketinggian setengah meter mohon segera di tindak lanjuti untuk drainase sehingga tidak terjadi banjir lagi terima kasih,Dinas Pekerjaan Umum dan Penataan Ruang Kota Banjarbaru,  Drainase (Gorong-Gorong/Parit)
0,"Dengan hormat,kami selaku pengurus rt. 05 / rw 02 ,kel. dukuh pakis , kec. dukuh pakis , kota surabaya, memohon perhatian atas kerusakan saluran air ( selokan ) agar nantinya diperbaiki, adapun selokan tersebut tempatnya berada di jalan dukuh pakis 3 a gang makam pahlawan ( tmp ) , sebelah timur tempat makam pahlawan , sebelah selatan jalan raya mayjend sungkono.kerusakan selokan tersebut cukup berat yang mengakibatkan longsornya bebatuan dan tanah yang mengakibatkan tersumbatanya aliran air,yang mana pada musim hujan saat ini mengakibtkan di beberapa wilayah rt. 05 dan rt. 02 tergenang air cukup tinggi( banjir ), khususnya pada saat curah hujan sangat tinggi. kerusakan tersebut sebenarnya sudah lama sekitar lima bulan yang lalu, kami melakuan upaya pencegahan sementara dengan meletakan beberapa papan dan kayu penyangga, namun usaha tersebut tidak bertahan lama , sehingga kerusakan kembali lagi. melalui surat ini mohon perhatian dari dinas  terkait agar dapat segera menindak lanjuti laporan kami, dan meninjau kondisi lapangan, agar cepat teratasi.sekian pelaporan dan permohonan  ini kami sampaikan. atas perhatian dan budi baik pemerintah kami ucapkan terima kasih.","Dinas Perumahan Rakyat dan Kawasan Permukiman, Cipta Karya dan Tata dan Tata Ruang Pemerintah Kota S",  Jalan Berlubang
1,Pemko padang.mohon carikan solusi untuj daerah ini yaitu.smp 33 padang dan lingkungan komp puri lestari dekat sekolah.bila musim hujan sering banjir karena minimnya drainase saluran dan ditambah bocornya pembuangan hujan dari pabrik yg berdekatan kedinding pagar sekolah.,Dinas PU dan Penataan Ruang Kota Padang,  Drainase (Gorong-Gorong/Parit)
2,"Mohon di daerah gunung kupang dilakukan penghijauan ditanami pohon, supaya ada resapan untuk menahan banjir",Dinas Kehutanan Provinsi Kalimantan Selatan,  Kehutanan
3,"Mohon agar konsep ibu kota baru memiliki konsep desain yang anti bencana, terutama anti bencana banjir seperti belanda dan anti bencana gempa seperti jepang",Direktorat Jenderal Cipta Karya,  Lainnya terkait Pekerjaan Umum dan Penataan Ruang
4,"Tolong untuk ditindak lanjutkan untuk dilakukan pembersihan di anak sungai musi di jalan kadir tkr lr.jambu rt 025/041 rw 007 kel.36 ilir kec. gandus kota palembang sumatera selatan, karena sudah setahun lebih tidak dilakukan pembersihan dari pihak dinas kebersihan, sudah mengirim dm instagram ke instansi juga tidak ada respon nya, kepada pihak yang terkait untuk di lakukan pengerukan karena anak sungai nya telah dangkal akibat jika hujan deras maka akan banjir di tambah lagi jika air musi pasang maka akan banjir sekian terima kasih atas responnya.",Dinas PUPR Kota Palembang,  Drainase (Gorong-Gorong/Parit)
5,"Mohon ijin pemerintah kabupaten jeneponto,  stadion yang menjadi ikon turatea saat ini masih sangat memprihatinkan pasca banjir yg menghantam jeneponto 2019 silam.  stafion ini menjadi lokomotif terciptanya bibit bibit atlet yang mendunia hingga saat ini.  namun kondisinya hari ini jauh dr kualitas sarana olahraga yg semestinya sehingga kami berharap mewkili teman teman pemerhati olahraga di jeneponto berharap kepada pemerintah pusat sampai ke pemerintah daerah untuk segera membenahi pusat kegiatan olahraga masyarakat ini....",Dinas Pemuda Dan Olahraga,  Topik Lainnya
6,"Assalamualaikum, selamat malam Bismillah Saya Fitri Ariyanti mewakili warga jl Cinde Mojokerto Hujan lebat  mengakibatkan Banjir di Cinde gang buntu, setiap hujan deras selalu banjir di daerah situ. Sudah laporan di RT RT sampe kelurahan hanya di sanggupi saja. Semoga segera ditindak lanjuti ,terimakasih banyak",DINAS PEKERJAAN UMUM DAN PENATAAN RUANG PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN KOTA MOJOKERTO,  Banjir
7,"Pada tgl 29-03-2021, kami warga limus nunggal yg bertempat di kp. bakom mendatangi kantor kepala desa limus nunggal, namun pada saat di tempat kami tidak bisa menemui bpk. kades dikarena bpk. kades sedang ada pelatihan bimtek di pemda, sehingga kami berpikiran jika tidak ada bpk. kades maka kami ingin berjumpa dengan bpk. sekdes, namun kami disuruh menunggu oleh beberapa staff desa dikarenakan bpk. sekdes ada tamu dari kecamatan alhasil kami menunggu (kira2 1 jam kami menunggu), setelah kami menunggu satu persatu staff desa dan bpk. sekdes tdk berkenan menemui kami, mohon ditindak lanjuti perangkat desa limus nunggal yg tidak melayani warganya, warga yg hadir ingin meminta solusi terhadap banjir yg ada di kp. bakom dikarenakan saluran air tertutup dan kecil sehingga setiap hujan slalu banjir (kira2 sampai dengkul atas orang dewasa), mohon seluruh perangkat kecamatan memperhatikan kinerja perangkat desa terhadap pelayanan dan perangkat desa limus nunggal agar memperhatikan warganya",Inspektorat,  Drainase (Gorong-Gorong/Parit)
8,"Dengan hormat,
Melalui ini saya menyampaikan akibat dari hujan lebat pada tanggal 27 maret 2021 mengakibatkan meluapnya sungai ciloseh.
Maka dari ini saya selaku warga lengkong barat, rt 04 rw 01, kelurahan lengkongsari kecamatan tawang kota tasikmalaya jawa barat 46111
Meminta bantuan kepada pemerintah untuk meninjau lokasi dan kami meminta untuk membangun pondasi tpt (tembok penahan tanah) di area sungai ciloseh.
Pernah ada pengukuran lokasi area sungai ciloseh  dari pihak pemerintah 3tahun yang lalu, namun sampai saat ini tidak ada lagi kabar atau kelanjutannya untuk membangun tpt area ciloseh ini.
Kejadian banjir bandang ciloseh ini sudah kesekian kalinya terjadi, dan kami kwatir banjir bandang ini mencapai pemukiman warga setempat.

Semoga dengan laporan ini pihak pemerintah dapat segera meninjau lokasi kejadian, dan dapat menindaklanjuti dengan pembangunan tpt.
Mohon maaf bila terdapat kesalahan, atas waktunya kami ucapkan terimakasih.",Pemerintah Provinsi Jawa Barat,  Penanggulangan Bencana
9,"Sebagian warga kabupaten hst saat ini khawatir dengan adanya klaim sebuah perusahaan yg mengaku mempunyai izin tambang andesit seluas 602 (enam ratus dua) hektar di kec. batang alai timur kab.hst kalimantan selatan dengan nomer sk : 188.45/005/kum/2015
mohon kiranya esdm menyampaikan informasi tentang izin tersebut di media agar warga tidak khawatir lagi, dan seandainya  izin tersebut asli maka pemerintah terkait bisa memerintahkan kpd perusahaan itu untuk mensosialisasikannya kepada masyarkat agar masyarakat tidak khawatir dan tidak resah lagi, mengingat kab.hst baru saja dilanda bencana alam banjir bandang serta tanah longsor yg memakan korban nyawa serta harta benda.
apabila izinnya itu bodong, maka dimohon untuk menindak secepatnya agar warga tidak resah.",Direktorat Jenderal Mineral dan Batu Bara,  Pertambangan
