,report,unit
5,"Asslamu'alaikum. wr. wbyth bpk. walikota banjarmasinsaya cuman menyampaikan keluhan saya ke capil banjarmasin yang kinerja nya yg tidak memuaskan, ko bisa berkas yang diterima bisa hilang. saya menyerahkan berkasnya dari jam setengah 12 siang, dan saya nunggu sampai jam 2 siang belum dipanggil lalu saya berinisitif menanyakan ke loket ternyata berkasnya tidak ada  sebelumnya saya ucapkan terima kasih sudah berkenan membaca keluhan saya ini dan bapak bersedia meluangkan waktunya asalamu'alaikum. wr. wb kemaren pa, berkas laporan bekas kebakaran dari polsek, untuk pembuatan  akta kelahiran baru alhamdullilah sudah ketemu iya kalo masalah saya udah selesai. mohon maaf sebelumnya saya memberi saran supaya kinerja kedepanya untuk d perbaiki dan lebih teliti lagi. kasian masyarakat bolak balik karna kurang penjelasan dari petugas disanaterima kasih pa sudah merespon keluh",Dinas Kependudukan dan Pencatatan Sipil
6,"Kepada yth. Pemkot kota semarang, ka. Disperkim & ka. Satpol pp,

Saya ingin melaporkan dugaan pelanggaran garis sempadan bangunan (gsb) dan pelanggaran izin mendirikan bangunan (imb) oleh tetangga saya.

Lokasi dugaan pelanggaran ini dilakukan oleh warga rt 2, rw 2, kelurahan wonotingal, kecamatan candisari, kota semarang.

Jalan yang seharusnya lebar, menjadi sempit karena beberapa warga membangun pagar menjorok kedepan sehingga memakan bahu jalan.

Kejadian ini sudah berlangsung lama, padahal jl. Leoser ini merupakan jalan lingkungan yang menjadi andalan warga rt iii, rw ii, kel. Wonotingal, kec. Candisari.

Sejauh yang saya tahu, daerah yang berada diluar gsb bukan hak dari pemilik lahan, sehingga pemilik lahan tidak diperbolehkan mendirikan bangunan diluar gsb.

Pelanggaran gsb mengakibatkan tidak akan diterbitkannya imb.
Namun warga tetap membangun, merenovasi bangunan mereka, mereka menambah bangunan yang semakin menjorok ke ke bahu jalan, sehingga jalan menjadi semakin sempit.

Penetapan gsb sendiri sejauh yang saya tahu mempertimbangkan beberapa faktor, seperti faktor keselamatan & keserasian dengan lingkungan. Namun dalam hal ini nampaknya tidak diindahkan oleh warga rt ii tsb. Bila seandainya terjadi musibah kebakaran, mobil pemadam kebakaran tidak akan bisa masuk karena jalan terlalu sempit, juga beberapa warga di rt kami terganggu karena lahan kami menjadi tidak ada nilai pasarnya..padahal kami semua membeli lahan kami dengan hasil kerja keras kami yang kami kumpulkan sedikit demi sedikit.
 atas perhatiannya saya haturkan terimakasih,


David hendrajaya,m.m. (a/n warga rt iii)
0816662285


Lokasi: jl. Leoser, candirejo, rt ii & iii, rw ii, kelurahan wonotingal, kecamatan candisari, semarang.",Dinas Penataan Ruang Kota Semarang
7,"Bakar sampah sembarangan.

kpd. yth pemprov dki jakarta timur
saya merupakan warga yang tinggal di wilayah pondok kopi, tepatnya di jalan mawar merah ii , saya ingin melaporkan adanya tindakan membakar sampah sembarangan dari warga di jalan mawar merah tepatnya di lahan kosong depan rumah makan bakwan malang pisangan.  kejadian pembakaran sampah ini terjadi hampir setiap hari (pagi, siang dan malam) . kejadian ini sudah saya tegur tapi warga tidak mau tau dan tetap membakar sampah. sampah yang dibakar beragam mulai dari sampah organik hingga sampah plastik yang berdampak buruk bagi kesehatan dan juga lingkungan. disamping itu terkadang api yang dihasilkan cukup besar sehingga sangat beresiko terhadap bahaya kebakaran. jika mengacu pada perda dki tentang larangan membakar sampah tersebut tertuang dalam peraturan daerah (perda) nomor 2 tahun 2005 tentang pengendalian pencemaran udara dan peraturan daerah (perda) nomor 3 tahun 2013 tentang pengelolaan sampah di bawah ini, tindakan pembakaran sampah tersebut jelas sudah melanggar aturan perda dan bisa dikenakan sanksi pidana peraturan daerah provinsi daerah khusus ibukota jakarta nomor 3 tahun 2013 tentang pengelolaan sampah pada bab xxi mengenai larangan, pasal 126 poin e yang isinya: setiap orang dilarang: a. membuang sampah ke tpst dan tpa di luar jam 06.00 wib sampai dengan jam 21.00 wib; b. membuang sampah ke sungai/kali/kanal, waduk, situ dan saluran air limbah; c. membuang sampah di jalan, taman dan tempat umum; d. membuang sampah ke tpst atau tpa tanpa izin; e. membakar sampah yang mencemari lingkungan; mohon dengan sangat bantuan pihak berwenang/terkait untuk menindaklanjuti masalah ini agar tidak berlarut-larut dan cepat selesai karena sangat mengganggu.
jika akan ditindak lanjuti dan ingin tau lebih tepat letak dan alamatnya, dengan rendah hati mohon hubungi saya di nomor 081287403371. terimakasih.",Pemprov DKI 2
8,"Pemprov dki - kelurahan kapuk - kecamatan cengkareng - dinas citata dki .

jalan waru 2b kapuk - cengkareng, terdapat bangunan (tidak pada tempatnya / liar / tidak berizin ) bangunan permanen itu didirikan di atas lahan yang seharusnya dijadikan jalur hijau/saluran air. ini sudah terjadi bertahun tahun lamanya, bahkan ada yang sudah puluhan tahun. bangunan tersebut membahayakan bahkan pernah mengalami insiden kebakaran. selain itu akses di jalan tersebut menjadi sempit karena ada aktifitas parkir sembarangan , dll. mohon segera ditindak.",Pemprov DKI 2
9,"Bersama ini kami warga simo gunung kramat barat gang 4 rt. 5  rw. 14 surabaya. mohon dapatnya dari pihak pemerintah kota surabaya atas ketidaknyamanan kami sebagai warga mengenai pembangunan pagar sekolah sdn. putat jaya 3 /379 surabaya. agar memberikan jalan bagi warga dengan memundurkan pagar sekolahan  1mtr dr tembok pagar yg lama.  dengan pertimbangan apabila terjadi kebakaran di atau sakit warga sakit / meninggal dunia, semprotan hama /nyamuk  bisa ke akses sampe rumah yg pojok melihat selama ini akses mobil tersebut tdk bisa smpek msk kedalam.
demikian permohonan kami warga skgb gang 4  rt. 5 rw. 14. mohon ditinjau dan ditindak lanjuti oleh petugas pemkot setempat. 
atas perhatiannya kami warga rt. 5 mengucapkan terimakasih. 

pelapor  : daud ratue
hp. 081285714791",Bagian Administrasi Pemerintahan dan Otonomi Daerah Pemerintah Kota Surabaya
0,"Pak rumah saya dekat dengan home industri pembuatan tahu dan tempe tapi mereka produksi semena mena tidak memikirkan lingkungan sekitar terutama limbah asap.a mengganggu belum lagi api yg menyala besar takut mengakibatkan kebakaran. mohon untuk dilakukan penegoran. trimakasaih
lokasi kp. gelam kutajaya rt09/02 pasarkemis, tangerang",Dinas Lingkungan Hidup Dan Kebersihan Kabupaten Tangerang
1,"Saya mau melaporkan kebiasaan bakar sampah di lingkungan rt 03/rw 03, kel. pondok labu, kec. cilandak. kejadian terjadi setiap hari pagi dan malam. hal ini telah dilaporkan beberapa kali ke rt setempat tapi tidak ada tindak lanjut dan kejadian berulang, seperti terjadi pembiaran.
mohon ditindaklanjuti, karena hal ini sangat mengganggu kesehatan warga sekitar karena kualitas udara yang sangat buruk. hal ini juga melanggar pasal 29 uu no 18 tahub 2008 tentang pengelolaan sampah.
saya berharap kebiasaan membakar sampah ini dapat ditangani oleh petugas setempat segera karena ini juga sangat berbahaya dan rawan kebakaran, apalagi jakarta sedang pada musim kemarau.
atas bantuan dan tindak lanjut yg sangat diharapkan kami ucapkan terima kasih.

warga",Pemprov DKI 2
2,"Kepada : walikota binjai
saya ingin tahu perkembangan mengenai berita kebakaran yg di jl.tengku amir hamzah ds sambirejo. apakah ada santunan kepada keluarga korban?
#sahabatlapor",Dinas Sosial
3,Kalau terjadi kebakaran no berapa bisa dihubungi trima kasih,Dinas Pemadam Kebakaran & Penyelamatan Kota Parepare
4,"Kepada yth : walikota binjai,

selamat sore pak, 
mengingat peristiwa terjadinya kebakaran pabrik mancis di jalan tengku amir hamzah ds sambirejo arah ke gumit binjai, apakah ada bantuan santunan dari pemko binjai pak?",Dinas Sosial
5,"Kepada walikota binjai

pak bagaiman terkait kebakaran pabrik mancis yang di jl.tengku amir hamzah ds sambirejo, apakah pemilik dari perusahan tersebut sudah ditindak tegas, dan memberikan tanggung jawab terhadap korban dan keluarganya?

#sahabatlapor",Dinas Sosial
6,"Yth badan pengelola lingkungan hidup daerah dan pempro dki jakarta,

laporan ini adalah kelanjutan atas laporan pertama saya mengenai oknum pembakar sampah (tracking id laporan: 3946276) yang menurut saya belum ditindaklanjuti dengan tepat sasaran. 

laporan pertama saya adalah mengenai aktivitas pembakaran sampah di pekarangan oleh seorang warga yang hampir terjadi setiap hari dan beberapa kali dalam hari yang sama (lokasi pembakaran adalah di jl. pejuangan gang mawar 1, rt 003, rw 007, kebon jeruk, jakarta barat).  bahkan waktu-waktu oknum tersebut membakar sampah random. kadang pagi, siang, malam, atau bahkan dini hari saat warga sedang beristirahat. padahal di areal ini setiap minggu ada petugas yang mengangkut sampah yang datang paling tidak 2 kali seminggu. selain berbahaya karena meningkatkan resiko kebakaran di perumahan setempat (berhubung rumah-rumah di sekitarnya berdempetan satu sama lain), aktifitas oknum tersebut juga sangat mengganggu, khususnya bagi saya pribadi dan keluarga, yang tinggal di rumah sebelah tempat oknum tersebut membakar sampah. apalagi saat ini saat ini saya sedang hamil dan takut akan dampak buruk asap hasil bakar sampah tersebut terhadap janin saya. saya juga memiliki alergi asap dan seringkali mendapat serangan asma setiap kali oknum itu membakar sampah. 

atas laporan pertama saya di atas, berdasarkan aplikasi crm pempro dki jakarta dengan laporan no. lp000011170, sesuai dengan sekda no. 61/se/2018, pihak kelurahan kebon jeruk telah menindaklanjuti laporan saya tersebut dengan berkoordinasi dengan pihak rw dan pihak terkait. namun, berdasarkan foto yang terlampir dalam feedback crm pempro dki jakarta, nampaknya rumah dan pihak-pihak yang terlibat dalam foto tersebut bukan pihak oknum yang saya maksud dalam laporan pertama saya (foto yang dimaksud terlampir dalam attachment laporan ini). karena sejak laporan dibuat dan ditindaklanjuti (februari 2019) hingga saat ini (juli 2019), oknum pembakar sampah yang dimaksudkan dalam laporan masih tetap melakukan tindakan pembakaran sampah. untuk minggu ini saja beliau sudah membakar sampah selama 3 hari berturut-turut yang kadang dibakar dini hari (pukul 01.00 pagi atau subuh).

sejauh ini saya dan keluarga hanya bisa berupaya dengan menegur oknum tersebut jika beliau membakar sampah atau menyiram api pembakaran sampah (walaupun setelah api dimatikan, oknum tersebut dengan keras kepala menyalakan api lagi). namun, seperti yang sudah dituangkan dalam laporan pertama saya, oknum tersebut selalu ngeyel (karena merasa dituakan dan ‘memiliki’ tanah tersebut) dan aktivitas pembakaran sampah terus berlanjut sehingga meresahkan warga.

mohon bantuan dari aparat setempat untuk menindaklanjuti laporan ini secara tepat sasaran (mendatangi oknum pembakar dan areal/lokasi aktifitas pembakaran yang dimaksud-->jl. pejuangan gang mawar 1, rt 003, rw 007, kebon jeruk, jakarta barat. patokannya masuk dari gang sebelah indomart pejuangan, lalu belok kanan di tiang listrik pertama. lokasi merupakan jalan buntu dengan sekumpulan rumah dengan sebatang pohon mangga dan tempat yang dijadikan pembakaran sampah di tengahnya). 

mohon bantuannya juga kepada pemerintah setempat dan pengelola lingkungan hidup daerah agar membantu penyelesaian masalah ini dan meminimalisir potensi kerugian yang diakibatkan oleh aktivitas pembakaran sampah. barangkali dengan sosialisasi atau pemasangan spanduk pelarangan aktivitas membakar sampah dan hukuman-hukumannya agar warga aware dengan masalah ini. karena belum banyak warga yang menyadari bahwa aktifitas bakar sampah yang dianggap sepele dan lumrah ini sesungguhnya sangat mengganggu warga sekitar dan juga melanggar perda dki no. 3 tahun 2013 juncto uu no. 32 tahun 2009 tentang pengelolaan sampah. dalam hal ini, bab xxi pasal 126 poin e mengatur bahwa “setiap orang dilarang membakar sampah yang mencemari lingkungan” dan menurut uu no. 18 tahun 2008, pelanggar dapat dikenai sanksi hukuman pidana penjara atau denda maksimal rp 100 juta. 

demikian laporan ini kami sampaikan agar dari aparat yang bersangkutan dapat melakukan sosialisasi dan jalan keluar untuk permasalahan ini. terimakasih.",Pemprov DKI 2
7,"Saya merupakan produsen alat rumah tangga, terutama kipas angin.
kipas angin merupakan produk wajib sni, dan dimana sudah beberapa kali kami diundang jika ada sosialisasi sni maupun jika ada ketidak sesuaian dengan aturan sni yang berlaku. sudah beberapa tahun ini kami melakukan perbaikan atas saran-saran yang diberikan dan menerapkan standar sni pada produk kami. dan akibatnya harga kami di pasaran menjadi mahal dan tidak dapat bersaing dengan merek2 lain nya yang hanya ""mengaku"" ada sni (ditulis di kardus), namun dapat di cek produk nya apakah mengikuti aturan sni. 

saya mohon perusahaan seperti kami yang selalu menjaga keamanan untuk pembeli dan memberikan yang terbaik untuk konsumen nya dapat dijaga. diterapkan nya sni bagi kipas angin ini merupakan sesuatu yang baik, dan memang tepat. merupakan kewajiban setiap perusahaan untuk dapat mewujudkan nya. perusahaan saya telah menjalankan itu untuk 3 tahun lebih, namun belum bisa menciptakan untung (malah rugi) karena tidak dapat bersaing dengan merek-merek lain yang sangat murah dan produk nya pun sangat jelek. tidak akan bisa bertahan lama untuk perusahaan yang berusaha mengikuti peraturan jika pesaing nya tidak mengikuti nya.

saya mohon demi keamanan konsumen dan iklim bisnis yang baik, kalau memang sni ini harus diberlakukan, pengawasan nya harus ketat. merek-merek yang tidak mengikuti, harus diberantas, karena sangat membahayakan konsumen.

saya coba untuk memberikan dampak positif dari sni ini terhadap konsumen:
1. harus ada thermal fuse: mencegah kebakaran rumah (terutama rumah kumuh)
2. melindungi bagian tubuh konsumen (terutama jari anak)

saya tahu harga barang akan menjadi mahal jika sni ini 100% diterapkan, namun bagi pengusaha, pasti ada cara untuk membuat harga lebih terjangkau. 

namun jika itu sifatnya demi keselamatan konsumen, tidak bisa ditawar lagi. harus dilakukan. 

** saya pernah datang saat ada sosialisasi sni, dan setiap perusahaan yang tidak mengikuti sni lebih di ""takut-takuti"" jika ketahuan tidak sesuai aturan, oleh karena itu perusahaan yang ada di sosialisasi tersebut, berusaha untuk mengikuti peraturan yang berlaku. namun yang saya tidak lihat adalah merek-merek yang dari awal sangat tidak ikut aturan. mereka mungkin tidak disana karena tidak diundang, karena kementrian perindustrian tidak punya data mereka. dari meeting tersebut hingga sekarang (+/- 3 tahun) tidak ada pengawasan sama sekali di pasar. merek-merek tersebut sangat makmur di pasaran, dan sangat laku di pasar. 

jika sni itu diberlakukan wajib, maka pengawasan dan hukuman nya harus wajib juga. 

salam perlindungan konsumen,
terima kasih",Kementerian Perdagangan
8,"Penanganan izin oleh lipi lamban.

saya monika ruwaimana, dosen indonesia, sedang penelitian s3 di universitas oregon, as dengan beasiswa. penelitian saya adalah tentang kebakaran hutan di kalimantan.

tim riset saya juga mencakup orang as, sdri lauren hendricks yg november 2018 lalu mengambil sample di tn gunung palung. 
sampel arang akan saya bawa ke as, tapi sampel tanah akan saya analisis di universitas tanjungpura pontianak.

kami sudah mengurus surat izin ekspor sampel ke lipi dan ksdae dan sudah dapat sk (sk 102/ksdae/set/ksa.2/3/319) untuk angkut sampel, namum sk tersebut hanya mencakup sampel yg dikirim ke as saja, tidak menyebutkan sampel yg dianalisis di indonesia. karena itu, kepala tngp tidak mengizinkan sampel kami dibawa. padahal dulu untuk sampel yg dianalisis di indonesia (masih satu provinsi lagi) boleh langsung dibawa, apalagi sampel kami bukan termasuk jenis yg dilindungi. namun kami diminta untuk revisi ulang dari lipi lagi, agar surat lipi mencakup sampel lokal. 

sudah 7 bulan sampel kami terkatung2, kami sudah mengajukan ulang ke lipi, mereka tidak punya deadline yg jelas dan setiap kami telp jawabannya hanyalah ""sedang direview"".
surat permohonan kami kirimakan a.n. universitas tanjungpura (no. 111/un22.27/ks/mil/2019).

mohon tolong ada deadline yg jelas kapan jadinya surat, saya sudah berkali2 izin ke lipi, paling cepat sebulan, kadang bisa molor 6 bulan. itu pun harus kami telp kadang sampai seminggu 3 kali. padahal sebagai dosen dan peneliti kami dituntut untuk riset, tapi pas mau riset malah dipersulit dan digantungin begini.",Lembaga Ilmu Pengetahuan Indonesia
